experiment_name,run_id,seed,scenario,backbone,depth,train_intervention,loss,class_weight_mode,train_sampler,image_ablation,run_dir,best_epoch,selection_metric,best_score,split,class_name,f1
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,cis,coyote,0.8787023977433004
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,cis,dog,0.7487844408427877
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,cis,opossum,0.8293381037567084
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,cis,rabbit,0.7036688617121355
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,cis,raccoon,0.6970509383378016
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,cis,rodent,0.36024844720496896
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,cis,skunk,0.847926267281106
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,cis,squirrel,0.5728476821192053
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,trans,bird,0.2838709677419355
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,trans,bobcat,0.5100446428571429
