experiment_name,run_id,seed,scenario,backbone,depth,train_intervention,loss,class_weight_mode,train_sampler,image_ablation,in_domain_accuracy,ood_accuracy,gap,normalized_gap,in_domain_macro_f1,ood_macro_f1
night_to_day_resnet50_cw_none_seed42,night_to_day_resnet50_cw_none_seed42_20260509_142652,42,night_to_day,resnet50,50,none,cross_entropy,none,none,none,0.7028639618138425,0.46625262777580034,0.23661133403804213,0.33663887593188335,0.696676907372636,0.41132884515759277
night_to_day_resnet50_image_background_only_seed42,night_to_day_resnet50_image_background_only_seed42_20260509_145413,42,night_to_day,resnet50,50,none,cross_entropy,balanced,none,background_only,0.5501193317422435,0.3464800885788519,0.2036392431633916,0.37017285416685936,0.5278298421469518,0.298751150311342
night_to_day_resnet50_image_foreground_only_seed42,night_to_day_resnet50_image_foreground_only_seed42_20260509_145413,42,night_to_day,resnet50,50,none,cross_entropy,balanced,none,foreground_only,0.6467780429594272,0.4446874569235521,0.2020905860358751,0.3124574005499324,0.6042056601338512,0.40424479776978184
night_to_day_resnet50_image_object_crop_seed42,night_to_day_resnet50_image_object_crop_seed42_20260509_145420,42,night_to_day,resnet50,50,none,cross_entropy,balanced,none,object_crop,0.7183770883054893,0.5877864869193861,0.13059060138610323,0.18178558797600416,0.6921553911157731,0.5374961958050694
night_to_day_resnet50_loss_focal_seed42,night_to_day_resnet50_loss_focal_seed42_20260509_142823,42,night_to_day,resnet50,50,none,focal,balanced,none,none,0.6515513126491647,0.44360376594815004,0.20794754670101462,0.31915758999166716,0.6491372541426176,0.41901278892502997
night_to_day_resnet50_seed42,night_to_day_resnet50_seed42_20260509_142356,42,night_to_day,resnet50,50,none,cross_entropy,balanced,none,none,0.7016706443914081,0.4726787662229473,0.22899187816846084,0.3263523705870241,0.689926953891879,0.4375279366480444
night_to_day_resnet50_seed42,night_to_day_resnet50_seed42_20260509_142422,42,night_to_day,resnet50,50,none,cross_entropy,balanced,none,none,0.7076372315035799,0.4816472382019878,0.22598999330159214,0.31935854028117067,0.6887888385730492,0.4519165349594367
night_to_day_resnet50_seed42,night_to_day_resnet50_seed42_20260509_142955,42,night_to_day,resnet50,50,none,cross_entropy,balanced,none,none,0.7076372315035799,0.4816472382019878,0.22598999330159214,0.31935854028117067,0.6887888385730492,0.4519165349594367
night_to_day_resnet50_seed43,night_to_day_resnet50_seed43_20260509_142356,43,night_to_day,resnet50,50,none,cross_entropy,balanced,none,none,0.5584725536992841,0.3439399146071098,0.21453263909217424,0.38414177683598716,0.5839359335579938,0.3233992964765363
night_to_day_resnet50_seed44,night_to_day_resnet50_seed44_20260509_142351,44,night_to_day,resnet50,50,none,cross_entropy,balanced,none,none,0.6670644391408115,0.491224422758433,0.1758400163823785,0.26360274370023823,0.6662433314722104,0.4690271773604968
